order_id,order_status_code,date_order_placed
1,Cancelled,2017-09-17 16:13:07
2,Part Completed,2017-10-14 12:05:48
3,Cancelled,2017-09-10 08:27:04
4,Delivered,2018-03-19 21:48:59
5,Delivered,2017-09-17 07:48:34
6,Delivered,2018-03-07 15:34:19
7,Part Completed,2017-12-02 13:40:02
8,Part Completed,2018-03-01 04:18:28
9,Part Completed,2018-03-01 05:25:55
10,Part Completed,2017-09-25 14:30:23
11,Cancelled,2017-05-27 10:55:13
12,Cancelled,2017-11-06 00:37:20
13,Part Completed,2017-09-26 06:53:48
14,Delivered,2017-05-02 00:04:13
15,Cancelled,2017-11-23 04:27:11
16,Cancelled,2017-07-19 12:45:12
17,Delivered,2017-10-27 11:27:07
18,Cancelled,2017-05-15 15:13:44
19,Part Completed,2017-12-10 23:45:42
20,Cancelled,2017-09-20 22:18:50
